Electoral district number ,Electoral district name,Political affiliation,Votes obtained ,% Votes obtained ,Full_name,Total_valid_votes,Rank,Winner,PPC_Vote
35106,Thunder Bay--Superior North,NDP,11244,27.1,Chantelle Bryson,41483,2,Loser,2465
35106,Thunder Bay--Superior North,PPC,2465,5.9,Rick Daines,41483,4,Loser,2465
35106,Thunder Bay--Superior North,Liberal,16893,40.7,Patty Hajdu,41483,1,Winner,2465
35106,Thunder Bay--Superior North,Green Party,735,1.8,Amanda Moddejonge,41483,5,Loser,2465
35106,Thunder Bay--Superior North,Conservative,10035,24.2,Joshua Taylor,41483,3,Loser,2465
35106,Thunder Bay--Superior North,Libertarian,111,0.3,Alexander Vodden,41483,6,Loser,2465
35107,Timmins--James Bay,NDP,12132,35.1,Charlie Angus,34570,1,Winner,4537
35107,Timmins--James Bay,Liberal,8508,24.6,Steve Black,34570,3,Loser,4537
35107,Timmins--James Bay,Conservative,9393,27.2,Morgan Ellerton,34570,2,Loser,4537
35107,Timmins--James Bay,PPC,4537,13.1,Stephen MacLeod,34570,4,Loser,4537
35108,Toronto Centre,Communist,181,0.4,Ivan Byard,45817,6,Loser,1047
35108,Toronto Centre,NDP,11909,26,Brian Chang,45817,2,Loser,1047
35108,Toronto Centre,Liberal,23071,50.4,Marci Ien,45817,1,Winner,1047
35108,Toronto Centre,PPC,1047,2.3,Syed Jaffery,45817,5,Loser,1047
35108,Toronto Centre,Conservative,5571,12.2,Ryan Lester,45817,3,Loser,1047
35108,Toronto Centre,Green Party,3921,8.6,Annamie Paul,45817,4,Loser,1047
35108,Toronto Centre,Animal Protection Party,117,0.3,Peter Stubbins,45817,7,Loser,1047
35109,Toronto--Danforth,Conservative,6547,12.6,Michael Carey,52142,3,Loser,1282
35109,Toronto--Danforth,Liberal,25214,48.4,Julie Dabrusin,52142,1,Winner,1282
35109,Toronto--Danforth,Independent,123,0.2,Habiba Desai,52142,8,Loser,1282
35109,Toronto--Danforth,NDP,17555,33.7,Clare Hacksel,52142,2,Loser,1282
35109,Toronto--Danforth,Communist,215,0.4,Elizabeth Rowley,52142,6,Loser,1282
35109,Toronto--Danforth,PPC,1282,2.5,Wayne Simmons,52142,4,Loser,1282
35109,Toronto--Danforth,Green Party,1023,2,Maryem Tollar,52142,5,Loser,1282
35109,Toronto--Danforth,Animal Protection Party,183,0.4,Liz White,52142,7,Loser,1282
35110,University--Rosedale,Liberal,22451,47.5,Chrystia Freeland,47235,1,Winner,1172
35110,University--Rosedale,Communist,244,0.5,Drew Garvie,47235,6,Loser,1172
35110,University--Rosedale,Green Party,1974,4.2,Tim Grant,47235,4,Loser,1172
35110,University--Rosedale,PPC,1172,2.5,David Kent,47235,5,Loser,1172
35110,University--Rosedale,NDP,11921,25.2,Nicole Robicheau,47235,2,Loser,1172
35110,University--Rosedale,Conservative,9473,20.1,Steven Taylor,47235,3,Loser,1172
35111,Vaughan--Woodbridge,NDP,3265,6.9,Peter Michael DeVita,47162,3,Loser,2567
35111,Vaughan--Woodbridge,PPC,2567,5.4,Mario Greco,47162,4,Loser,2567
35111,Vaughan--Woodbridge,Green Party,453,1,Muhammad Hassan Khan,47162,5,Loser,2567
35111,Vaughan--Woodbridge,Independent,159,0.3,Luca Mele,47162,6,Loser,2567
35111,Vaughan--Woodbridge,Conservative,19019,40.3,Angela Panacci,47162,2,Loser,2567
35111,Vaughan--Woodbridge,Liberal,21699,46,Francesco Sorbara,47162,1,Winner,2567
35112,Waterloo,NDP,11360,19,Jonathan Cassels,59654,3,Loser,2802
35112,Waterloo,Liberal,26926,45.1,Bardish Chagger,59654,1,Winner,2802
35112,Waterloo,PPC,2802,4.7,Patrick Doucette,59654,4,Loser,2802
35112,Waterloo,Conservative,16528,27.7,Meghan Shannon,59654,2,Loser,2802
35112,Waterloo,Green Party,2038,3.4,Karla Villagomez Fajardo,59654,5,Loser,2802
35113,Wellington--Halton Hills,PPC,4359,6.4,Syl Carle,67656,4,Loser,4359
35113,Wellington--Halton Hills,Conservative,35257,52.1,Michael Chong,67656,1,Winner,4359
35113,Wellington--Halton Hills,NDP,7050,10.4,Noor Jahangir,67656,3,Loser,4359
35113,Wellington--Halton Hills,Liberal,18384,27.2,Melanie Lang,67656,2,Loser,4359
35113,Wellington--Halton Hills,Green Party,2606,3.9,Ran Zhu,67656,5,Loser,4359
35114,Whitby,PPC,2682,4.3,Thomas Androvic,62066,4,Loser,2682
35114,Whitby,NDP,8766,14.1,Brian Dias,62066,3,Loser,2682
35114,Whitby,Green Party,972,1.6,Johannes Kotilainen,62066,5,Loser,2682
35114,Whitby,Conservative,22271,35.9,Maleeha Shahid,62066,2,Loser,2682
35114,Whitby,Liberal,27375,44.1,Ryan Turnbull,62066,1,Winner,2682
35115,Willowdale,NDP,4231,10.3,Hal Berman,41104,3,Loser,1102
35115,Willowdale,Liberal,21043,51.2,Ali Ehsassi,41104,1,Winner,1102
35115,Willowdale,Green Party,812,2,Anna Gorka,41104,5,Loser,1102
35115,Willowdale,Conservative,13916,33.9,Daniel Lee,41104,2,Loser,1102
35115,Willowdale,PPC,1102,2.7,Al Wahab,41104,4,Loser,1102
35116,Windsor--Tecumseh,Conservative,14605,25.6,Kathy Borrelli,56977,3,Loser,5927
35116,Windsor--Tecumseh,Marxist-Leninist,164,0.3,Laura Chesnik,56977,6,Loser,5927
35116,Windsor--Tecumseh,PPC,5927,10.4,Victor Green,56977,4,Loser,5927
35116,Windsor--Tecumseh,NDP,17465,30.7,Cheryl Hardcastle,56977,2,Loser,5927
35116,Windsor--Tecumseh,Liberal,18134,31.8,Irek Kusmierczyk,56977,1,Winner,5927
35116,Windsor--Tecumseh,Green Party,682,1.2,Henry Oulevey,56977,5,Loser,5927
35117,Windsor West,PPC,4060,8.3,Matthew Giancola,48693,4,Loser,4060
35117,Windsor West,NDP,21541,44.2,Brian Masse,48693,1,Winner,4060
35117,Windsor West,Conservative,9415,19.3,Anthony Orlando,48693,3,Loser,4060
35117,Windsor West,Liberal,13524,27.8,Sandra Pupatello,48693,2,Loser,4060
35117,Windsor West,Marxist-Leninist,153,0.3,Margaret Villamizar,48693,5,Loser,4060
35118,York Centre,NDP,3753,10.2,Kemal Ahmed,36858,3,Loser,1726
35118,York Centre,Conservative,13949,37.8,Joel Yakov Etienne,36858,2,Loser,1726
35118,York Centre,PPC,1726,4.7,Nixon Nguyen,36858,4,Loser,1726
35118,York Centre,Liberal,17430,47.3,Ya'ara Saks,36858,1,Winner,1726
35119,York--Simcoe,Conservative,24900,50,Scot Davidson,49831,1,Winner,3662
35119,York--Simcoe,NDP,6800,13.6,Benjamin Jenkins,49831,3,Loser,3662
35119,York--Simcoe,Liberal,14469,29,Daniella Johnson,49831,2,Loser,3662
35119,York--Simcoe,PPC,3662,7.3,Michael Lotter,49831,4,Loser,3662
35120,York South--Weston,PPC,1754,4.5,Sitara Chiu,38570,4,Loser,1754
35120,York South--Weston,Liberal,21644,56.1,Ahmed Hussen,38570,1,Winner,1754
35120,York South--Weston,NDP,6517,16.9,Hawa Mire,38570,3,Loser,1754
35120,York South--Weston,Conservative,7783,20.2,Sajanth Mohan,38570,2,Loser,1754
35120,York South--Weston,Green Party,872,2.3,Nicki Ward,38570,5,Loser,1754
35121,Humber River--Black Creek,PPC,1258,3.9,Raatib Anderson,32187,4,Loser,1258
35121,Humber River--Black Creek,Marxist-Leninist,130,0.4,Christine Nugent,32187,6,Loser,1258
35121,Humber River--Black Creek,Liberal,19533,60.7,Judy Sgro,32187,1,Winner,1258
35121,Humber River--Black Creek,Conservative,5599,17.4,Rinku Shah,32187,2,Loser,1258
35121,Humber River--Black Creek,Green Party,388,1.2,Unblind Tibbin,32187,5,Loser,1258
35121,Humber River--Black Creek,NDP,5279,16.4,Matias de Dovitiis,32187,3,Loser,1258
46001,Brandon--Souris,PPC,2981,7.8,Tylor Baer,38160,4,Loser,2981
46001,Brandon--Souris,Liberal,4608,12.1,Linda Branconnier,38160,3,Loser,2981
46001,Brandon--Souris,NDP,7838,20.5,Whitney Hodgins,38160,2,Loser,2981
46001,Brandon--Souris,Conservative,22733,59.6,Larry Maguire,38160,1,Winner,2981
46002,Charleswood--St. James--Assiniboia--Headingley,NDP,6974,15.4,Madelaine Dwyer,45277,3,Loser,1594
46002,Charleswood--St. James--Assiniboia--Headingley,Liberal,17651,39,Doug Eyolfson,45277,2,Loser,1594
46002,Charleswood--St. James--Assiniboia--Headingley,Conservative,18111,40,Marty Morantz,45277,1,Winner,1594
46002,Charleswood--St. James--Assiniboia--Headingley,Green Party,947,2.1,Vanessa Parks,45277,5,Loser,1594
46002,Charleswood--St. James--Assiniboia--Headingley,PPC,1594,3.5,Angela Van Hussen,45277,4,Loser,1594
46003,Churchill--Keewatinook Aski,NDP,7632,42.6,Niki Ashton,17927,1,Winner,899
46003,Churchill--Keewatinook Aski,Conservative,4330,24.2,Charlotte Larocque,17927,3,Loser,899
46003,Churchill--Keewatinook Aski,Green Party,552,3.1,Ralph McLean,17927,5,Loser,899
46003,Churchill--Keewatinook Aski,Liberal,4514,25.2,Shirley Robinson,17927,2,Loser,899
46003,Churchill--Keewatinook Aski,PPC,899,5,Dylan Young,17927,4,Loser,899
46004,Dauphin--Swan River--Neepawa,Liberal,4892,12.7,Kevin Carlson,38514,3,Loser,4052
46004,Dauphin--Swan River--Neepawa,Maverick Party,339,0.9,Lori Falloon-Austin,38514,6,Loser,4052
46004,Dauphin--Swan River--Neepawa,NDP,5678,14.7,Arthur Holroyd,38514,2,Loser,4052
46004,Dauphin--Swan River--Neepawa,Green Party,835,2.2,Shirley Lambrecht,38514,5,Loser,4052
46004,Dauphin--Swan River--Neepawa,Conservative,22718,59,Dan Mazier,38514,1,Winner,4052
46004,Dauphin--Swan River--Neepawa,PPC,4052,10.5,Donnan McKenna,38514,4,Loser,4052
46005,Elmwood--Transcona,NDP,20791,49.7,Daniel Blaikie,41839,1,Winner,2435
46005,Elmwood--Transcona,Conservative,11768,28.1,Rejeanne Caron,41839,2,Loser,2435
46005,Elmwood--Transcona,PPC,2435,5.8,Jamie Cumming,41839,4,Loser,2435
46005,Elmwood--Transcona,Green Party,676,1.6,Devlin Hinchey,41839,5,Loser,2435
46005,Elmwood--Transcona,Liberal,6169,14.7,Sara Mirwaldt,41839,3,Loser,2435
46006,Kildonan--St. Paul,Liberal,12934,29.4,Mary-Jane Bennett,43947,2,Loser,2325
46006,Kildonan--St. Paul,NDP,10313,23.5,Emily Clark,43947,3,Loser,2325
46006,Kildonan--St. Paul,Conservative,18375,41.8,Raquel Dancho,43947,1,Winner,2325
46006,Kildonan--St. Paul,PPC,2325,5.3,Sean Howe,43947,4,Loser,2325
46007,Portage--Lisgar,Conservative,23819,52.5,Candice Bergen,45356,1,Winner,9790
46007,Portage--Lisgar,Liberal,4967,11,Andrew Carrier,45356,4,Loser,9790
46007,Portage--Lisgar,Christian Heritage Party,712,1.6,Jerome Dondo,45356,5,Loser,9790
46007,Portage--Lisgar,NDP,6068,13.4,Ken Friesen,45356,3,Loser,9790
46007,Portage--Lisgar,PPC,9790,21.6,Solomon Wiebe,45356,2,Loser,9790
46008,Provencher,Conservative,24294,48.7,Ted Falk,49901,1,Winner,8227
46008,Provencher,PPC,8227,16.5,Nöel Gautron,49901,3,Loser,8227
46008,Provencher,Green Party,1273,2.6,Janine G. Gibson,49901,6,Loser,8227
46008,Provencher,Liberal,8471,17,Trevor Kirczenow,49901,2,Loser,8227
46008,Provencher,Independent,1366,2.7,Rick Loewen,49901,5,Loser,8227
46008,Provencher,NDP,6270,12.6,Serina Pottinger,49901,4,Loser,8227
46009,Saint Boniface--Saint Vital,Conservative,12749,28,Shola Agboola,45469,2,Loser,1978
46009,Saint Boniface--Saint Vital,Independent,58,0.1,Scott A A Anderson,45469,7,Loser,1978
46009,Saint Boniface--Saint Vital,Independent,16,0,Denis Berthiaume,45469,14,Loser,1978
46009,Saint Boniface--Saint Vital,Independent,24,0.1,Jean-Denis Boudreault,45469,11,Loser,1978
46009,Saint Boniface--Saint Vital,Parti Rhinocéros Party,80,0.2,Sébastien CoRhino,45469,6,Loser,1978
46009,Saint Boniface--Saint Vital,VCP,17,0,Matthew Correia,45469,13,Loser,1978
46009,Saint Boniface--Saint Vital,Independent,31,0.1,Naomi Crisostomo,45469,8.5,Loser,1978
46009,Saint Boniface--Saint Vital,Independent,25,0.1,Charles Currie,45469,10,Loser,1978
46009,Saint Boniface--Saint Vital,Independent,11,0,Manon Lili Desbiens,45469,20,Loser,1978
46009,Saint Boniface--Saint Vital,Independent,14,0,Alexandra Engering,45469,17,Loser,1978
46009,Saint Boniface--Saint Vital,Independent,14,0,Scott Falkingham,45469,17,Loser,1978
46009,Saint Boniface--Saint Vital,Independent,31,0.1,Kerri Hildebrandt,45469,8.5,Loser,1978
46009,Saint Boniface--Saint Vital,Independent,14,0,Ryan Huard,45469,17,Loser,1978
46009,Saint Boniface--Saint Vital,Independent,7,0,Conrad Lukawski,45469,21,Loser,1978
46009,Saint Boniface--Saint Vital,PPC,1978,4.4,Jane MacDiarmid,45469,4,Loser,1978
46009,Saint Boniface--Saint Vital,Green Party,676,1.5,Laurent Poliquin,45469,5,Loser,1978
46009,Saint Boniface--Saint Vital,Independent,13,0,Eliana Rosenblum,45469,19,Loser,1978
46009,Saint Boniface--Saint Vital,Independent,21,0,Patrick Strzalkowski,45469,12,Loser,1978
46009,Saint Boniface--Saint Vital,Independent,15,0,Tomas Szuchewycz,45469,15,Loser,1978
46009,Saint Boniface--Saint Vital,Liberal,19908,43.8,Dan Vandal,45469,1,Winner,1978
46009,Saint Boniface--Saint Vital,NDP,9767,21.5,Meghan Waters,45469,3,Loser,1978
46010,Selkirk--Interlake--Eastman,Conservative,28308,57.1,James Bezan,49607,1,Winner,3800
46010,Selkirk--Interlake--Eastman,Green Party,1328,2.7,Wayne James,49607,5,Loser,3800
46010,Selkirk--Interlake--Eastman,PPC,3800,7.7,Ian Kathwaroon,49607,4,Loser,3800
46010,Selkirk--Interlake--Eastman,Liberal,6567,13.2,Detlev Regelsky,49607,3,Loser,3800
46010,Selkirk--Interlake--Eastman,NDP,9604,19.4,Margaret Smith,49607,2,Loser,3800
46011,Winnipeg Centre,PPC,1229,4.1,Bhavni Bhakoo,29749,4,Loser,1229
46011,Winnipeg Centre,Conservative,3818,12.8,Sabrina Brenot,29749,3,Loser,1229
46011,Winnipeg Centre,Green Party,708,2.4,Andrew Brown,29749,5,Loser,1229
46011,Winnipeg Centre,Libertarian,373,1.3,Jamie Buhler,29749,6,Loser,1229
46011,Winnipeg Centre,NDP,14962,50.3,Leah Gazan,29749,1,Winner,1229
46011,Winnipeg Centre,Liberal,8446,28.4,Paul Ong,29749,2,Loser,1229
46011,Winnipeg Centre,Animal Protection Party,213,0.7,Debra Wall,29749,7,Loser,1229
46012,Winnipeg North,Green Party,418,1.3,Angela Brydges,31408,5,Loser,1315
46012,Winnipeg North,NDP,8998,28.6,Melissa Chung-Mowat,31408,2,Loser,1315
46012,Winnipeg North,Communist,109,0.3,Robert Crooks,31408,6,Loser,1315
46012,Winnipeg North,Conservative,4126,13.1,Anas Kassem,31408,3,Loser,1315
46012,Winnipeg North,Liberal,16442,52.3,Kevin Lamoureux,31408,1,Winner,1315
46012,Winnipeg North,PPC,1315,4.2,Patrick Neilan,31408,4,Loser,1315
46013,Winnipeg South,Green Party,681,1.4,Greg Boettcher,47245,5,Loser,1542
46013,Winnipeg South,Liberal,22423,47.5,Terry Duguid,47245,1,Winner,1542
46013,Winnipeg South,PPC,1542,3.3,Byron Curtis Gryba,47245,4,Loser,1542
46013,Winnipeg South,NDP,6632,14,Aiden Kahanovitch,47245,3,Loser,1542
46013,Winnipeg South,Conservative,15967,33.8,Melanie Maher,47245,2,Loser,1542
46014,Winnipeg South Centre,Conservative,13566,27.8,Joyce Bateman,48771,2,Loser,1352
46014,Winnipeg South Centre,Liberal,22214,45.5,Jim Carr,48771,1,Winner,1352
46014,Winnipeg South Centre,Green Party,1341,2.7,Douglas Hemmerling,48771,5,Loser,1352
46014,Winnipeg South Centre,NDP,10064,20.6,Julia Riddell,48771,3,Loser,1352
46014,Winnipeg South Centre,Communist,234,0.5,Cam Scott,48771,6,Loser,1352
46014,Winnipeg South Centre,PPC,1352,2.8,Chase Wells,48771,4,Loser,1352
47001,Battlefords--Lloydminster,Conservative,21336,68.7,Rosemarie Falk,31048,1,Winner,1847
47001,Battlefords--Lloydminster,NDP,3718,12,Erik Hansen,31048,2,Loser,1847
47001,Battlefords--Lloydminster,Liberal,1748,5.6,Larry Ingram,31048,5,Loser,1847
47001,Battlefords--Lloydminster,Maverick Party,2162,7,Ken Rutherford,31048,3,Loser,1847
47001,Battlefords--Lloydminster,PPC,1847,5.9,Terry Sieben,31048,4,Loser,1847
47001,Battlefords--Lloydminster,Green Party,237,0.8,Kerri Wall,31048,6,Loser,1847
47002,Cypress Hills--Grasslands,Liberal,1492,4.4,Mackenzie Hird,34277,4,Loser,2826
47002,Cypress Hills--Grasslands,PPC,2826,8.2,Charles Reginald Hislop,34277,3,Loser,2826
47002,Cypress Hills--Grasslands,Independent,193,0.6,Maria Rose Lewans,34277,7,Loser,2826
47002,Cypress Hills--Grasslands,NDP,3604,10.5,Alex McPhee,34277,2,Loser,2826
47002,Cypress Hills--Grasslands,Conservative,24518,71.5,Jeremy Patzer,34277,1,Winner,2826
47002,Cypress Hills--Grasslands,Maverick Party,1360,4,Mark Skagen,34277,5,Loser,2826
47002,Cypress Hills--Grasslands,Green Party,284,0.8,Carol Vandale,34277,6,Loser,2826
47003,Desnethé--Missinippi--Churchill River,Liberal,5533,26.9,Buckley Belanger,20574,2,Loser,1002
47003,Desnethé--Missinippi--Churchill River,Green Party,215,1,Nasser Dean Chalifoux,20574,6,Loser,1002
47003,Desnethé--Missinippi--Churchill River,NDP,3548,17.2,Harmonie King,20574,3,Loser,1002
47003,Desnethé--Missinippi--Churchill River,Independent,240,1.2,Stephen King,20574,5,Loser,1002
47003,Desnethé--Missinippi--Churchill River,PPC,1002,4.9,Dezirae Reddekopp,20574,4,Loser,1002
47003,Desnethé--Missinippi--Churchill River,Conservative,10036,48.8,Gary Vidal,20574,1,Winner,1002
47004,Carlton Trail--Eagle Creek,Liberal,2066,5,Harrison Andruschak,41089,4,Loser,3791
47004,Carlton Trail--Eagle Creek,Conservative,28192,68.6,Kelly Block,41089,1,Winner,3791
47004,Carlton Trail--Eagle Creek,PPC,3791,9.2,Micheal Bohach,41089,3,Loser,3791
47004,Carlton Trail--Eagle Creek,NDP,5608,13.6,Shannon O'Toole,41089,2,Loser,3791
47004,Carlton Trail--Eagle Creek,Maverick Party,1053,2.6,Diane Pastoor,41089,5,Loser,3791
47004,Carlton Trail--Eagle Creek,Green Party,379,0.9,Cherese Reemaul,41089,6,Loser,3791
47005,Moose Jaw--Lake Centre--Lanigan,PPC,4712,11.4,Chey Craik,41184,3,Loser,4712
47005,Moose Jaw--Lake Centre--Lanigan,Green Party,438,1.1,Isaiah Hunter,41184,6,Loser,4712
47005,Moose Jaw--Lake Centre--Lanigan,NDP,7975,19.4,Talon Regent,41184,2,Loser,4712
47005,Moose Jaw--Lake Centre--Lanigan,Conservative,24869,60.4,Fraser Tolmie,41184,1,Winner,4712
47005,Moose Jaw--Lake Centre--Lanigan,Maverick Party,664,1.6,David Craig Townsend,41184,5,Loser,4712
47005,Moose Jaw--Lake Centre--Lanigan,Liberal,2526,6.1,Katelyn Zimmer,41184,4,Loser,4712
47006,Prince Albert,Green Party,364,1.1,Hamish Graham,34425,6,Loser,2388
47006,Prince Albert,Liberal,3653,10.6,Estelle Hjertaas,34425,3,Loser,2388
47006,Prince Albert,Conservative,22340,64.9,Randy Hoback,34425,1,Winner,2388
47006,Prince Albert,NDP,5214,15.1,Ken MacDougall,34425,2,Loser,2388
47006,Prince Albert,PPC,2388,6.9,Joseph McCrea,34425,4,Loser,2388
47006,Prince Albert,Maverick Party,466,1.4,Heather Schmitt,34425,5,Loser,2388
47007,Regina--Lewvan,Liberal,6310,13.8,Susan Cameron,45643,3,Loser,1635
47007,Regina--Lewvan,NDP,15763,34.5,Tria Donaldson,45643,2,Loser,1635
47007,Regina--Lewvan,PPC,1635,3.6,Roderick Kletchko,45643,4,Loser,1635
47007,Regina--Lewvan,Conservative,21375,46.8,Warren Steinley,45643,1,Winner,1635
47007,Regina--Lewvan,Green Party,560,1.2,Michael Wright,45643,5,Loser,1635
47008,Regina--Qu'Appelle,NDP,6879,20.9,Annaliese Bos,32959,2,Loser,1668
47008,Regina--Qu'Appelle,Green Party,668,2,Naomi Hunter,32959,5,Loser,1668
47008,Regina--Qu'Appelle,Liberal,3344,10.1,Cecilia Melanson,32959,3,Loser,1668
47008,Regina--Qu'Appelle,Conservative,20400,61.9,Andrew Scheer,32959,1,Winner,1668
47008,Regina--Qu'Appelle,PPC,1668,5.1,Andrew Yubeta,32959,4,Loser,1668
47009,Regina--Wascana,NDP,6975,18.1,Erin Hidlebaugh,38600,3,Loser,1352
47009,Regina--Wascana,Conservative,19261,49.9,Michael Kram,38600,1,Winner,1352
47009,Regina--Wascana,Green Party,622,1.6,Victor Lau,38600,5,Loser,1352
47009,Regina--Wascana,Liberal,10390,26.9,Sean McEachern,38600,2,Loser,1352
47009,Regina--Wascana,PPC,1352,3.5,Mario Milanovski,38600,4,Loser,1352
47010,Saskatoon--Grasswood,PPC,2108,4.6,Mark Friesen,45604,4,Loser,2108
47010,Saskatoon--Grasswood,NDP,13720,30.1,Kyla Kitzul,45604,2,Loser,2108
47010,Saskatoon--Grasswood,Liberal,6460,14.2,Rokhan Sarwar,45604,3,Loser,2108
47010,Saskatoon--Grasswood,Green Party,556,1.2,Gillian Walker,45604,5,Loser,2108
47010,Saskatoon--Grasswood,Conservative,22760,49.9,Kevin Waugh,45604,1,Winner,2108
47011,Saskatoon--University,NDP,15042,35.4,Claire Card,42517,2,Loser,1778
47011,Saskatoon--University,Liberal,4608,10.8,Dawn Dumont Walker,42517,3,Loser,1778
47011,Saskatoon--University,Communist,100,0.2,Jeremy Fisher,42517,7,Loser,1778
47011,Saskatoon--University,Green Party,405,1,North-Marie Hunter,42517,5,Loser,1778
47011,Saskatoon--University,PPC,1778,4.2,Guto Penteado,42517,4,Loser,1778
47011,Saskatoon--University,Conservative,20389,48,Corey Tochor,42517,1,Winner,1778
47011,Saskatoon--University,Christian Heritage Party,195,0.5,Carl A Wesolowski,42517,6,Loser,1778
47012,Saskatoon West,PPC,2064,6.1,Kevin Boychuk,33906,4,Loser,2064
47012,Saskatoon West,NDP,13328,39.3,Robert Doucette,33906,2,Loser,2064
47012,Saskatoon West,Green Party,357,1.1,Dave Greenfield,33906,5,Loser,2064
47012,Saskatoon West,Liberal,2778,8.2,Ruben Rajakumar,33906,3,Loser,2064
47012,Saskatoon West,Conservative,15379,45.4,Brad Redekopp,33906,1,Winner,2064
47013,Souris--Moose Mountain,Liberal,1636,4.2,Javin Ames-Sinclair,39340,4,Loser,3571
47013,Souris--Moose Mountain,Maverick Party,977,2.5,Greg Douglas,39340,5,Loser,3571
47013,Souris--Moose Mountain,NDP,3107,7.9,Hannah Ann Duerr,39340,3,Loser,3571
47013,Souris--Moose Mountain,Conservative,30049,76.4,Robert Kitchen,39340,1,Winner,3571
47013,Souris--Moose Mountain,PPC,3571,9.1,Diane Neufeld,39340,2,Loser,3571
47014,Yorkton--Melville,Liberal,2187,6.3,Jordan Ames-Sinclair,34658,4,Loser,3227
47014,Yorkton--Melville,Green Party,614,1.8,Valerie Brooks,34658,5,Loser,3227
47014,Yorkton--Melville,Maverick Party,597,1.7,Denise Loucks,34658,6,Loser,3227
47014,Yorkton--Melville,PPC,3227,9.3,Braden Robertson,34658,3,Loser,3227
47014,Yorkton--Melville,NDP,4239,12.2,Halsten David Rust,34658,2,Loser,3227
47014,Yorkton--Melville,Conservative,23794,68.7,Cathay Wagantall,34658,1,Winner,3227
48001,Banff--Airdrie,Green Party,1405,1.8,Aidan Blum,76988,7,Loser,5808
48001,Banff--Airdrie,Maverick Party,1475,1.9,Tariq Elnaga,76988,6,Loser,5808
48001,Banff--Airdrie,Liberal,9572,12.4,David Gamble,76988,3,Loser,5808
48001,Banff--Airdrie,Independent,489,0.6,Caroline O'Driscoll,76988,8,Loser,5808
48001,Banff--Airdrie,Conservative,43677,56.7,Blake Richards,76988,1,Winner,5808
48001,Banff--Airdrie,No Affiliation,2020,2.6,Derek Sloan,76988,5,Loser,5808
48001,Banff--Airdrie,Independent,60,0.1,Ron Voss,76988,9,Loser,5808
48001,Banff--Airdrie,PPC,5808,7.5,Nadine Wellwood,76988,4,Loser,5808
48001,Banff--Airdrie,NDP,12482,16.2,Sarah Zagoda,76988,2,Loser,5808
48002,Battle River--Crowfoot,Green Party,554,0.9,Daniel Brisbin,58660,6,Loser,5440
48002,Battle River--Crowfoot,Maverick Party,2393,4.1,Jeff Golka,58660,5,Loser,5440
48002,Battle River--Crowfoot,VCP,178,0.3,John Irwin,58660,7,Loser,5440
48002,Battle River--Crowfoot,Conservative,41819,71.3,Damien Kurek,58660,1,Winner,5440
48002,Battle River--Crowfoot,Liberal,2515,4.3,Leah Diane McLeod,58660,4,Loser,5440
48002,Battle River--Crowfoot,NDP,5761,9.8,Tonya Ratushniak,58660,2,Loser,5440
48002,Battle River--Crowfoot,PPC,5440,9.3,Dennis Trepanier,58660,3,Loser,5440
48003,Bow River,Maverick Party,1368,2.7,Orrin Bliss,51138,5,Loser,5108
48003,Bow River,PPC,5108,10,Jonathan Bridges,51138,2,Loser,5108
48003,Bow River,Christian Heritage Party,391,0.8,Tom Lipp,51138,6,Loser,5108
48003,Bow River,NDP,4726,9.2,Michael MacLean,51138,3,Loser,5108
48003,Bow River,Liberal,3869,7.6,Getu Shawile,51138,4,Loser,5108
48003,Bow River,Conservative,35676,69.8,Martin Shields,51138,1,Winner,5108
48004,Calgary Centre,NDP,9694,16.4,Juan Estevez Moreno,59208,3,Loser,0
48004,Calgary Centre,Liberal,17593,29.7,Sabrina Grover,59208,2,Loser,0
48004,Calgary Centre,Conservative,30375,51.3,Greg McLean,59208,1,Winner,0
48004,Calgary Centre,Green Party,971,1.6,Austin Mullins,59208,4,Loser,0
48004,Calgary Centre,Christian Heritage Party,575,1,Dawid Pawlowski,59208,5,Loser,0
48005,Calgary Confederation,NDP,10561,17.1,Gulshan Akter,61631,3,Loser,2670
48005,Calgary Confederation,PPC,2670,4.3,Edward Gao,61631,4,Loser,2670
48005,Calgary Confederation,Marxist-Leninist,178,0.3,Kevan Hunter,61631,6,Loser,2670
48005,Calgary Confederation,Green Party,2295,3.7,Natalie Odd,61631,5,Loser,2670
48005,Calgary Confederation,Liberal,17560,28.5,Murray Sigler,61631,2,Loser,2670
48005,Calgary Confederation,Conservative,28367,46,Len Webber,61631,1,Winner,2670
48006,Calgary Forest Lawn,NDP,6254,18.1,Keira Gunn,34648,3,Loser,2468
48006,Calgary Forest Lawn,Conservative,15434,44.5,Jasraj Singh Hallan,34648,1,Winner,2468
48006,Calgary Forest Lawn,PPC,2468,7.1,Dwayne Holub,34648,4,Loser,2468
48006,Calgary Forest Lawn,Green Party,699,2,Carey Rutherford,34648,5,Loser,2468
48006,Calgary Forest Lawn,Liberal,9608,27.7,Jordan Stein,34648,2,Loser,2468
48006,Calgary Forest Lawn,Communist,185,0.5,Jonathan Trautman,34648,6,Loser,2468
48007,Calgary Heritage,PPC,2682,5,Bailey Bedard,53542,4,Loser,2682
48007,Calgary Heritage,Conservative,30870,57.7,Bob Benzen,53542,1,Winner,2682
48007,Calgary Heritage,Parti Rhinocéros Party,230,0.4,Mark Dejewski,53542,7,Loser,2682
48007,Calgary Heritage,Liberal,8960,16.7,Scott Forsyth,53542,3,Loser,2682
