Electoral district number ,Electoral district name,Political affiliation,Votes obtained ,% Votes obtained ,Full_name,Total_valid_votes,Rank,Winner,PPC_Vote
35074,Oshawa,PPC,4029,7.1,Darryl Mackie,56425,4,Loser,4029
35074,Oshawa,Green Party,864,1.5,Sonny Mir,56425,5,Loser,4029
35074,Oshawa,NDP,16079,28.5,Shailene Panylo,56425,2,Loser,4029
35075,Ottawa Centre,Animal Protection Party,261,0.4,Shelby Bertrand,74341,6,Loser,1605
35075,Ottawa Centre,Conservative,11650,15.7,Carol Clemenhagen,74341,3,Loser,1605
35075,Ottawa Centre,Independent,132,0.2,"Richard ""Rich"" Joyal",74341,8,Loser,1605
35075,Ottawa Centre,Green Party,2115,2.8,Angela Keller-Herzog,74341,4,Loser,1605
35075,Ottawa Centre,NDP,24552,33,Angella MacEwen,74341,2,Loser,1605
35075,Ottawa Centre,Communist,201,0.3,Alex McDonald,74341,7,Loser,1605
35075,Ottawa Centre,Liberal,33825,45.5,Yasir Naqvi,74341,1,Winner,1605
35075,Ottawa Centre,PPC,1605,2.2,Regina Watteel,74341,5,Loser,1605
35076,Orléans,Free Party Canada,220,0.3,André Junior Cléroux,75283,6,Loser,2046
35076,Orléans,Green Party,1233,1.6,Michael Hartnett,75283,5,Loser,2046
35076,Orléans,NDP,10983,14.6,Jessica Joanis,75283,3,Loser,2046
35076,Orléans,Liberal,39101,51.9,Marie-France Lalonde,75283,1,Winner,2046
35076,Orléans,PPC,2046,2.7,Spencer Oklobdzija,75283,4,Loser,2046
35076,Orléans,Conservative,21700,28.8,Mary-Elsie Wolfe,75283,2,Loser,2046
35077,Ottawa South,PPC,1898,3.2,Chylow Hall,59492,4,Loser,1898
35077,Ottawa South,Liberal,29038,48.8,David McGuinty,59492,1,Winner,1898
35077,Ottawa South,NDP,11514,19.4,Huda Mukbil,59492,3,Loser,1898
35077,Ottawa South,Green Party,1401,2.4,Les Schram,59492,5,Loser,1898
35077,Ottawa South,Conservative,15497,26,Eli Tannis,59492,2,Loser,1898
35077,Ottawa South,Communist,144,0.2,Larry Wasslen,59492,6,Loser,1898
35078,Ottawa--Vanier,Free Party Canada,179,0.3,Crystelle Bourguignon,58031,7,Loser,1855
35078,Ottawa--Vanier,PPC,1855,3.2,Jean-Jacques Desgranges,58031,4,Loser,1855
35078,Ottawa--Vanier,Libertarian,248,0.4,Daniel Elford,58031,6,Loser,1855
35078,Ottawa--Vanier,Liberal,28462,49,Mona Fortier,58031,1,Winner,1855
35078,Ottawa--Vanier,NDP,13703,23.6,Lyse-Pascale Inamuco,58031,2,Loser,1855
35078,Ottawa--Vanier,Conservative,11611,20,Heidi Jensen,58031,3,Loser,1855
35078,Ottawa--Vanier,Independent,157,0.3,Marie-Chantal TaiEl Leriche,58031,8,Loser,1855
